"Término","Contexto"
"intervención del ministerio fiscal"," justicia | acusación del fiscal; intervención del fiscal | acción penal"
"Derecho del trabajo"," relaciones laborales y Derecho del trabajo | estatuto de los trabajadores; legislación del trabajo; derechos del trabajador; legislación laboral; Derecho laboral | Código del Trabajo; secreto profesional; derechos sindicales; derecho de huelga; balance social; inspección del trabajo; norma de trabajo; derecho a la desconexión"
"fusión internacional"," organización de la empresa | fusión de empresas"
"convenio colectivo"," relaciones laborales y Derecho del trabajo | acuerdo colectivo | relación laboral"
"salario mínimo"," administración y remuneración del personal | salario garantizado; salario mínimo interprofesional | política salarial"
"dietas y gastos"," administración y remuneración del personal | dieta por desplazamiento; gastos de viaje | remuneración del trabajo"
"igualdad de trato"," derechos y libertades | desigualdad de trato; discriminación positiva; igualdad de derechos; igualdad de oportunidades; principio de igualdad; principio de no discriminación | derechos sociales"
"estatuto jurídico"," Derecho civil | estatuto legal; personalidad jurídica | Derecho civil | capacidad jurídica; persona jurídica; estado civil; estatuto jurídico europeo; persona física; disfrute de derechos; domicilio legal"
"movilidad geográfica"," movimientos migratorios | migración"
"transferencias sociales"," contabilidad nacional | ingreso por transferencia; ingresos sociales | renta"
"hora extraordinaria"," condiciones y organización del trabajo | hora extra | jornada de trabajo"
"asalariado"," mercado laboral | trabajador asalariado | categoría profesional"
"vivienda"," urbanismo y construcción | edificación habitable; alojamiento; habitación | cooperativa de viviendas; Derecho de la vivienda; vivienda colectiva; vivienda social; vivienda insalubre; vivienda individual"
"competencia"," competencia | política de competencia | competencia internacional"
"ministerio fiscal"," organización de la justicia | fiscal; Fiscal General del Estado; ministerio público fiscal | profesión jurídica"
"despido"," empleo | cese de empleo | ayuda a la recolocación; indemnización por despido; despido por causas económicas; despido colectivo; despido improcedente"
"tiempo de descanso"," condiciones y organización del trabajo | permiso | jornada de trabajo | vacaciones retribuidas; permiso sin sueldo; descanso semanal; día festivo"
"calidad del producto"," consumo | criterio de calidad | protección del consumidor | denominación del producto; duración del producto"
"personal de la administración de justicia"," organización de la justicia | oficial de la administración de justicia; secretario judicial; auxiliar de la administración de justicia | profesión jurídica | notario; agente judicial; asesor jurídico"
"profesión independiente"," mercado laboral | trabajador independiente; free lance; consejero; trabajador por cuenta propia; trabajador autónomo; experto; consultor | categoría profesional"
"prestación de servicios"," comercialización | acto de comercio"
"trabajo temporal"," empleo | contratación temporal; contrato de interinidad; empleo eventual; empleo interino; empleo temporal; trabajo eventual; trabajo interino | trabajo atípico"
"residencia"," demografía y población | primera residencia; residencia habitual; lugar de residencia; residencia principal | distribución geográfica de la población | residencia secundaria; movilidad de residencia"
"derechos de los pasajeros"," política de transportes | derechos de los pasajeros de autobús o autocar; derechos de los pasajeros de barco; derechos de los pasajeros aéreos; derechos de los pasajeros de tren | Derecho de los transportes"
"día festivo"," condiciones y organización del trabajo | calendario laboral; día no laborable | tiempo de descanso"
"elaboración de políticas"," poder ejecutivo y administración pública | formulación de políticas; EIP; elaboración interactiva de políticas; desarrollo de políticas; elaboración de políticas basadas en datos | administración pública"
"persona casada"," familia | cónyuge; esposa; esposo; marido | situación familiar"
"restricción de la competencia"," competencia | práctica comercial desleal; competencia ilícita; competencia desleal; práctica comercial discriminadora; competencia imperfecta; práctica comercial abusiva; distorsión de la competencia; competencia falseada; práctica comercial restrictiva | acuerdo de precios; obligación de no competencia; dumping; monopolio; negativa de venta; rechazo de oferta; publicidad abusiva; publicidad comparativa; oligopolio; posición dominante; oligopsonio; autolimitación"
"transferencia de la empresa"," organización de la empresa | política de la empresa"
"cooperativa"," forma jurídica de la sociedad | agrupación cooperativa; cooperativa de producción; empresa cooperativa; sociedad cooperativa | sociedad | cooperativa europea"
"consumidor"," consumo | protección del consumidor; comportamiento del consumidor; política de los consumidores; prosumidor"
"aplicación del Derecho de la UE"," Derecho de la Unión Europea | aplicación del Derecho comunitario; aplicación del Derecho de la Unión Europea | Derecho de la UE | incumplimiento del Derecho de la UE; transposición de la legislación comunitaria; excepción al Derecho de la UE"
"contaminación de los alimentos"," deterioro del medio ambiente | contaminación alimentaria | contaminación"
"cuadro administrativo"," organización de la empresa | directivo | profesión administrativa"
"primacía del Derecho"," fuentes y ramas del Derecho | aplicación de la ley"
"turismo"," vida social | industria turística; gestión del turismo; planificación del turismo; gestión hotelera | ocio | turismo rural; turismo religioso; turismo ecológico; industria gastronómica; política de turismo; turismo marítimo; turismo justo; turismo cultural; turismo de negocios; turismo fluvial; turismo médico; camping; infraestructura turística; turismo extranjero; agencia de viajes; industria hotelera; turismo de masas; profesión del turismo; viaje; intercambio turístico"
"agente judicial"," organización de la justicia | alguacil | personal de la administración de justicia"
"disfrute de derechos"," Derecho civil | estatuto jurídico"
"despido colectivo"," empleo | despido"
"norma de producción"," tecnología y reglamentación técnica | norma"
"redistribución de la renta"," contabilidad nacional | renta"
"administración electrónica"," poder ejecutivo y administración pública | e-administración; e-gobierno; administración en línea; servicio público digital | administración pública"
"muerte"," vida social | muerte violenta; cremación; fallecimiento; crematorio; pompas fúnebres; féretro; declaración de ausencia; ritos funerarios; funeral; declaración de fallecimiento; sepultura; funeraria; defunción; tanatorio; incineración; depósito de cadáveres; ayuda pasiva a la muerte; vehículo funerario; inhumación; difunto; cadáver; moribundo; enfermo terminal; causa del fallecimiento; muerte natural; entierro; costumbres funerarias; muerte senil; exequias | vida social"
"conflicto laboral"," relaciones laborales y Derecho del trabajo | conflicto colectivo; conflicto de trabajo; conflicto salarial | relación laboral | huelga; cierre patronal; requisa de trabajadores"
"Derecho consuetudinario"," fuentes y ramas del Derecho | normas consuetudinarias; usos y costumbres | fuentes del Derecho"
"tutela administrativa"," poder ejecutivo y administración pública | administración pública"
"duración de la conducción"," política de transportes | reglamentación del transporte"
"indemnización"," Derecho civil | resarcimiento; reparación del daño causado; compensación; indemnización a las víctimas | responsabilidad"
"diálogo social"," relaciones laborales y Derecho del trabajo | concertación social | relación laboral | diálogo social (UE)"
"armonización de la seguridad social"," protección social | armonización de los regímenes de seguridad social | seguridad social"
"salario mínimo"," administración y remuneración del personal | salario garantizado; salario mínimo interprofesional | política salarial"
"justicia reparadora"," justicia | justicia restitutiva; justicia restaurativa | procedimiento penal"
"indemnización por despido"," empleo | despido"
"medicamento falsificado"," sanidad | medicamento falso | medicamento"
"asociación sectores público y privado"," poder ejecutivo y administración pública | sociedad público-privada; APP | administración pública"
"jornada de trabajo"," condiciones y organización del trabajo | jornada laboral | organización del trabajo | horario de trabajo; horario flexible; trabajo dominical; jornada legal; tiempo de descanso; reducción del tiempo de trabajo; trabajo nocturno; trabajo por turnos; jornada intensiva; hora extraordinaria"
"salario"," administración y remuneración del personal | jornal; nómina; remuneración; sueldo | remuneración del trabajo | salario por rendimiento; retención; salario bajo; salario por horas"
"plan de pensiones"," protección social | pensión de jubilación; pensión de vejez; sistema de pensiones; seguro de vejez; subsidio de vejez | prestación social | acumulación de pensiones; pensión complementaria; transferencia de derechos de pensión"
"Comité de Empresa Europeo"," relaciones laborales y Derecho del trabajo | comité de empresa"
"política salarial"," administración y remuneración del personal | salario por trabajo doméstico; aumento salarial; reducción de salarios; salario mínimo; congelación salarial; mensualización; igualdad de remuneración; fijación del salario"
"Derecho del trabajo"," relaciones laborales y Derecho del trabajo | estatuto de los trabajadores; legislación del trabajo; derechos del trabajador; legislación laboral; Derecho laboral | Código del Trabajo; secreto profesional; derechos sindicales; derecho de huelga; balance social; inspección del trabajo; norma de trabajo; derecho a la desconexión"
"Derecho de las obligaciones"," Derecho civil | obligación civil | Derecho civil | deuda; créditos por cobrar"
"condición de jubilación"," empleo | edad de jubilación | cese de empleo"
"derecho de litigar"," justicia | derecho de ejercer una acción judicial; derecho de entablar una acción judicial; derecho de iniciar un procedimiento judicial; derecho de recurso | acceso a la justicia"
"cobertura universal de enfermedad"," protección social | cobertura sanitaria universal | seguridad social"
"representación del personal"," relaciones laborales y Derecho del trabajo | representación de los trabajadores | relación laboral | comité de empresa; representante sindical; elecciones sindicales"
"daño"," Derecho civil | perjuicio | responsabilidad"
"notario"," organización de la justicia | personal de la administración de justicia"
"bienestar social"," marco social | felicidad | condición socioeconómica"
"asesor jurídico"," organización de la justicia | personal de la administración de justicia"
"análisis de coste-eficacia"," gestión contable | eficacia en función de los costes | análisis de costes | productividad; rentabilidad"
"interés legítimo"," justicia | parte interesada; legitimación | admisibilidad | interés colectivo"
"recurso colectivo"," justicia | sistema de reparación colectiva; acción representativa | procedimiento judicial"
"Derecho de los consumidores"," consumo | legislación en materia de protección de los consumidores | protección del consumidor"
"acumulación de rentas"," contabilidad nacional | concurrencia de rentas; concurrencia de ingresos; acumulación de ingresos | renta"
"Comisión parlamentaria"," Parlamento | subcomisión parlamentaria | composición del Parlamento | comisión de investigación; comisión especial; comisión ad hoc; composición de una comisión parlamentaria; comisión permanente"
"comercio integrado"," distribución | comercio al por menor | cooperativa de consumo; cadena comercial; casa de descuento; gran superficie comercial"
"seguridad del producto"," consumo | protección del consumidor | producto defectuoso"
"protección del consumidor"," consumo | defensa del consumidor; plan de acción en favor de los consumidores; consumismo; derechos del consumidor | consumidor | movimiento de consumidores; Derecho de los consumidores; calidad del producto; seguridad del producto; información al consumidor; recuperación de un producto"
"jornada legal"," condiciones y organización del trabajo | semana de x horas | jornada de trabajo"
"sede de la administración"," poder ejecutivo y administración pública | deslocalización del organismo público; deslocalización de la administración pública; ubicación del organismo público; sede del organismo público; ubicación de la administración pública | administración pública"
"estado civil"," Derecho civil | estatuto jurídico | Registro Civil"
"cotización social"," protección social | afiliación a la seguridad social; alta en la seguridad social; cargas sociales; cotización a la seguridad social; cotización empresarial; cotización salarial; cuota de la seguridad social | seguridad social"
"recluso"," Derecho penal | preso; penado | Derecho penitenciario | trabajo del recluso"
"productividad"," gestión contable | eficiencia productiva; relación capital-trabajo; eficiencia; relación capital-producción; eficacia productiva | análisis de coste-eficacia"
"prima salarial"," administración y remuneración del personal | régimen de prima; sobresueldo; fijación de prima; gratificación; incentivo; paga extra; prima; prima de antigüedad | remuneración del trabajo"
"interés colectivo"," justicia | interés difuso | interés legítimo"
"trabajo dominical"," condiciones y organización del trabajo | trabajo en días festivos; trabajo en días no laborables | jornada de trabajo"
"horario de trabajo"," condiciones y organización del trabajo | hora de trabajo | jornada de trabajo"
"sanción penal"," Derecho penal | condena; pena | confiscación de bienes; multa; pena sustitutoria; restricción de libertad; pena de muerte; régimen abierto; encarcelamiento; privación de derechos; ejecución de la pena; Registro Penal"
"mano de obra"," mercado laboral | estructura de la mano de obra; trabajador | mano de obra familiar; trabajador expatriado; trabajador clandestino; trabajador joven; mano de obra femenina; población activa; población no activa; trabajador migrante; trabajador de temporada; trabajador pobre; cualificación profesional; trabajador fronterizo; trabajador de edad avanzada; trabajador polivalente; trabajador de plataforma en línea; trabajador (UE); auxiliar; trabajador manual; trabajador con discapacidad; trabajador desplazado"
"renta"," contabilidad nacional | redistribución de la renta; acumulación de rentas; nivel de vida; ahorro; presupuesto familiar; poder adquisitivo; distribución de la renta; renta familiar; ahorro forzoso; transferencias sociales"
"estatuto jurídico europeo"," Derecho civil | estatuto jurídico"
"profesión administrativa"," organización de la empresa | personal administrativo | cuadro administrativo; personal de secretaría; empleado de oficina"
"aplicación de la ley"," fuentes y ramas del Derecho | cumplimiento de la ley; vigencia de la ley; derogación de la ley; ejecución de la ley; desarrollo de la ley | ley | primacía del Derecho"
"Derecho de familia"," familia | filiación; obligación de alimentos; matrimonio; derecho de custodia; patria potestad; divorcio; tutela; Derecho matrimonial; unión civil; apellido; derecho de adopción; responsabilidad de los padres; derecho de visita; adopción; separación judicial; emancipación"
"política pública"," poder ejecutivo y administración pública | administración pública"
"fraude alimentario"," sanidad | legislación alimentaria"
"responsabilidad"," Derecho civil | responsabilidad jurídica; responsabilidad legal; responsabilidad colegiada | Derecho civil | responsabilidad del fabricante; daños y perjuicios; indemnización; daño; responsabilidad civil; responsabilidad contractual"
"análisis de políticas"," poder ejecutivo y administración pública | evaluación de políticas | administración pública"
"organización de la enseñanza"," organización de la enseñanza | mapa escolar; calendario escolar; sistema de enseñanza; orientación profesional; orientación escolar; alumnado; reforma de la enseñanza; programa de enseñanza; edad escolar"
"tutela"," familia | constitución de tutela; curatela; sometimiento a tutela | Derecho de familia"
"profesión liberal"," mercado laboral | categoría profesional"
"administración local"," poder ejecutivo y administración pública | consejo comarcal; administración comarcal; ayuntamiento; corporación local; diputación provincial; administración municipal; cabildo insular; régimen local; poder local; administración provincial | administración pública"
"poder adquisitivo"," contabilidad nacional | poder de compra | renta | paridad de poder adquisitivo"
"contrato público"," política comercial | presentación de ofertas; concesión de servicios; contrato de suministros; licitación; contrato de servicios; contratación directa; contrato de obras; adjudicación de contrato administrativo"
"transferencia de derechos de pensión"," protección social | plan de pensiones"
"indemnización"," Derecho civil | resarcimiento; reparación del daño causado; compensación; indemnización a las víctimas | responsabilidad"
"movimientos de opinión"," vida política y seguridad pública | corrientes de opinión; movimientos políticos y sociales | pacifismo; sociedad civil (movimientos de opinión); movimiento ecologista; militarismo; movimiento pro derechos humanos; movimiento juvenil; no violencia; movimiento antiglobalización; movimiento patriótico; movimiento asociativo; movimiento autonomista; disidencia; movimiento contra el racismo; mayoría silenciosa; movimiento obrero; movimiento campesino; disidente; movimiento feminista; desobediencia civil; movimiento social; protesta"
"movimiento social"," vida política y seguridad pública | movimientos de opinión"
"categoría profesional"," mercado laboral | profesión independiente; artesano; profesión liberal; asalariado; cónyuge colaborador"
"trabajo atípico"," empleo | estructura del empleo | trabajo a tiempo parcial; trabajo estacional; trabajo a domicilio; trabajo ocasional; trabajo a distancia; trabajo temporal"
"política de la vivienda"," urbanismo y construcción | construcción de viviendas | mejora de vivienda; asignación de vivienda; necesidad de vivienda"
"tercera edad"," demografía y población | persona de edad avanzada; vejez; viejo; anciano | distribución por edades"
"publicidad abusiva"," competencia | publicidad falsa; publicidad engañosa; publicidad desleal | restricción de la competencia"
"Derecho civil"," Derecho civil | Derecho común | abuso de poder; Derecho de las obligaciones; estatuto jurídico; contrato; responsabilidad; abuso de derecho"
